epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8971778154373169,9.999999747378752e-05,0.32687991857528687,0.8720793724060059,0.3276202082633972
1,0.9326753616333008,9.999999747378752e-05,0.2150358110666275,0.932645857334137,0.18575061857700348
2,0.9409461617469788,9.999999747378752e-05,0.19042201340198517,0.9285994172096252,0.20099446177482605
3,0.9445024728775024,9.999999747378752e-05,0.1719789206981659,0.9484401345252991,0.1584920883178711
4,0.9494290351867676,9.999999747378752e-05,0.15938368439674377,0.9171126484870911,0.23870453238487244
5,0.9497226476669312,9.999999747378752e-05,0.15291741490364075,0.9454379081726074,0.16557011008262634
6,0.9617455005645752,4.999999873689376e-05,0.11666470766067505,0.9584910869598389,0.12331562489271164
7,0.9636052250862122,4.999999873689376e-05,0.10699767619371414,0.9564025402069092,0.12180770933628082
8,0.9646003246307373,4.999999873689376e-05,0.10296625643968582,0.9592742323875427,0.14095959067344666
9,0.9662479758262634,4.999999873689376e-05,0.09781045466661453,0.9644954800605774,0.10268118232488632
10,0.9687275886535645,4.999999873689376e-05,0.0908089429140091,0.9605795741081238,0.11580481380224228
11,0.9698042273521423,4.999999873689376e-05,0.08844246715307236,0.9618848562240601,0.1127852201461792
12,0.9745187759399414,2.499999936844688e-05,0.07389097660779953,0.9667145013809204,0.1011219248175621
13,0.9755954146385193,2.499999936844688e-05,0.06878653913736343,0.9673671722412109,0.1025768369436264
14,0.9771615266799927,2.499999936844688e-05,0.06548125296831131,0.9698472619056702,0.09761762619018555
15,0.9785807728767395,2.499999936844688e-05,0.06347488611936569,0.9620153903961182,0.12367577850818634
16,0.9788907170295715,2.499999936844688e-05,0.06045064702630043,0.9673671722412109,0.10797972232103348
17,0.9816802740097046,1.249999968422344e-05,0.052151747047901154,0.9719357490539551,0.09530729800462723
18,0.9832789301872253,1.249999968422344e-05,0.048586759716272354,0.9684114456176758,0.10728929191827774
19,0.983801007270813,1.249999968422344e-05,0.04783428832888603,0.967497706413269,0.10763625055551529
20,0.9852039217948914,6.24999984211172e-06,0.043406546115875244,0.9699777960777283,0.10552515089511871
